발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,사고위치,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2018-12-14 06:27,부산,항계내,화재,관리소홀,양호,1,24,0,0,0,"부산, 감천항 7부두 계류장",35|03|39,128|59|47,화물선,6154,,,,
2018-12-14 06:00,포항,영해-EEZ,인명사상,운항부주의,황천5급,1,0,0,0,1,경북 경주시 감포항 남동방 20해리,35|41|00,129|53|00,어선,59,,,,
2018-12-14 03:55,울산,영해-EEZ,기관손상,정비불량,양호,1,7,0,0,0,대변동방 44해리(FIX 35-09N 130-08E)해상,35|09|00,130|08|00,화물선,997,,,,
2018-12-14 03:01,울산,항계내,좌초,운항부주의,양호,1,4,0,0,0,울산 북구 정자항 남방파제 남동방 150m,35|37|09,129|27|19,어선,9.77,,,,
2018-12-14 00:59,울산,항계내,기관손상,정비불량,양호,1,10,0,0,0,‘18. 12. 14. 00:59 온산 정일부두,35|27|03,129|22|05,유조선,1534,,,,
2018-12-14 00:12,여수,영해,해양오염,관리소홀,양호,1,0,0,0,0,여수시 B묘박지 인근 해상,34|45|01,127|47|29,기타,11645,,,,
2018-12-13 17:10,제주,영해,기관손상,정비불량,황천5급,1,2,0,0,0,추자 남동 3해리,33|54|00,126|20|00,어선,6.67,,,,
2018-12-13 13:40,완도,영해,기관손상,정비불량,양호,1,2,0,0,0,완도군 남방 2해리 해상,34|15|00,126|41|00,어선,14,,,,
2018-12-13 11:40,부산,영해,기관손상,정비불량,양호,1,1,0,0,0,"부산, 광안대교 외측",35|06|00,129|10|00,기타,19,,,,
2018-12-13 10:20,제주,항계내,좌초,운항부주의,양호,1,14,0,0,0,제주항 2부두,33|31|17,126|31|56,관공선,499,,,,
2018-12-13 07:50,본청,영해-EEZ,기관손상,정비불량,양호,1,5,0,0,0,오산 동방 17해리,36|54|00,129|47|00,어선,7.93,,,,
2018-12-13 05:52,창원,영해,좌초,운항부주의,양호,1,2,0,0,0,거제시 이수도 동방 해상,34|58|15,128|44|28,어선,5.47,,,,
2018-12-12 20:29,여수,영해,키손상,정비불량,양호,1,10,0,0,0,여수시 삼산면 백도 북동방 7.3해리 해상,34|08|00,127|42|00,어선,55,,,,
2018-12-12 14:14,목포,영해,기관손상,정비불량,양호,1,1,0,0,0,신안군 지도 선도 동방 인근 해상,34|58|00,126|16|00,어선,1.85,,,,
2018-12-12 09:10,창원,영해,운항저해,연료고갈,양호,1,2,0,0,0,진해 지리도 인근 해상,35|03|49,128|43|16,어선,2.55,,,,
2018-12-11 21:33,부산,항계내,기관손상,정비불량,양호,1,11,0,0,0,"부산, 오륙도 북동 2.2해리",35|06|56,129|09|48,예부선,236,,,,
2018-12-11 16:13,통영,영해,기관손상,정비불량,양호,1,2,0,0,0,통영시 한산면 장작항 서방 0.6해리 해상,34|46|40,128|27|60,어선,1.24,,,,
2018-12-11 11:35,보령,영해,충돌,운항부주의,양호,2,9,1,0,0,충남 서천군 홍원항 북서방 4.2해리,36|10|34,126|24|55,어선,24,어선,3,,
2018-12-11 10:35,군산,항계내,전복,관리소홀,양호,1,0,0,0,0,군산 신치항 내,35|49|00,126|28|00,어선,2.2,,,,
2018-12-11 09:19,목포,영해,기관손상,정비불량,양호,1,1,0,0,0,신안군 만재도 남방 4해리,34|08|1,125|41|0,어선,9.77,,,,
2018-12-11 02:15,통영,영해,침수,정비불량,양호,1,2,0,0,0,통영시 욕지도 서방 6해리 해상,34|08|09,128|06|14,어선,7.31,,,,
2018-12-10 18:47,동해,영해-EEZ,기관손상,정비불량,양호,1,2,0,0,0,경북 울릉도 북방 22해리 해상,37|54|00,130|55|00,어선,9.77,,,,
2018-12-10 18:38,제주,영해,좌초,운항부주의,양호,1,2,0,0,0,고산포구 앞 해상,33|18|42,126|09|47,어선,9.77,,,,
2018-12-10 17:40,동해,영해-EEZ,화재,관리소홀,양호,1,3,0,0,0,경북 울릉도 북방 18해리 해상,37|51|00,130|57|00,어선,9.77,,,,
2018-12-10 17:08,목포,항계내,해양오염,관리소홀,양호,1,0,0,0,0,영광군 홍농읍 가마미 MJ조선소 내,000|00|00,000|00|00,어선,3916,,,,
2018-12-10 13:29,제주,영해,기관손상,정비불량,양호,1,2,0,0,0,화도 남방 0.7해리,33|42|00,126|21|20,어선,4.99,,,,
2018-12-10 08:07,제주,영해,안전저해,운항부주의,양호,1,10,0,0,0,한림 북서방 16해리,33|40|00,126|11|00,어선,33,,,,
2018-12-10 07:53,동해,영해,기관손상,정비불량,양호,1,3,0,0,0,강원도 강릉시 등명해변 앞 0.6해리 해상,37|42|35,129|01|35,어선,2.99,,,,
2018-12-09 19:08,울산,항계내,운항저해,연료고갈,양호,1,2,0,0,0,울산 남구 용연부두 앞 해상 (Fix 35-28.26N 129-23.53E),35|28|26,129|23|53,기타,11,,,,
